id,dim1,dim2,dim3,cid
880,17,16,12,0
881,17,16,12,0
882,17,16,12,0
883,17,16,12,0
884,17,16,12,0
885,17,16,12,0
886,17,16,12,0
887,16,15,11,0
888,15,14,10,0
889,14,13,9,0
890,14,13,9,0
891,14,13,9,0
892,15,14,10,0
893,15,14,10,0
894,16,15,11,0
895,16,15,11,0
896,15,14,10,0
897,24,26,23,0
898,25,27,24,0
899,26,28,25,0
900,26,28,25,0
901,24,26,23,0
902,22,24,21,0
903,22,24,21,0
904,22,24,21,0
905,22,24,21,0
906,21,23,20,0
907,21,23,20,0
908,21,23,20,0
909,19,21,18,0
910,24,26,23,0
911,24,26,23,0
912,22,24,21,0
913,22,24,21,0
914,23,25,22,0
915,24,24,22,0
916,24,24,22,0
917,23,23,21,0
918,23,23,21,0
919,23,23,21,0
920,21,21,19,0
921,21,21,19,0
922,23,23,21,0
923,23,23,21,0
924,22,22,20,0
925,20,20,18,0
926,22,22,20,0
927,22,22,20,0
928,22,22,20,0
929,22,22,20,0
930,22,22,20,0
931,22,22,20,0
932,21,21,19,0
933,21,21,19,0
934,22,22,20,0
935,24,24,22,0
936,24,24,22,0
937,23,24,22,0
938,22,24,21,0
939,22,24,21,0
940,22,24,21,0
941,22,24,21,0
942,22,24,21,0
943,20,22,19,0
944,20,22,19,0
945,22,24,21,0
946,24,26,23,0
947,23,25,22,0
948,22,24,21,0
949,22,22,15,0
950,27,24,17,0
951,28,25,17,0
952,37,32,26,0
953,33,28,22,0
954,33,26,20,0
955,97,90,82,2
956,93,86,78,2
957,131,124,116,2
958,112,105,97,2
959,143,136,128,2
960,96,89,81,2
961,127,120,114,2
962,153,146,140,2
963,181,174,168,2
964,154,147,140,2
965,98,91,85,2
966,104,100,94,2
967,82,82,77,0
968,82,81,77,0
969,94,93,89,2
970,99,98,94,2
971,83,82,78,0
972,46,38,32,0
973,36,26,20,0
974,26,17,12,0
975,27,17,15,0
976,32,22,21,0
977,42,32,31,0
978,30,22,19,0
979,28,23,19,0
980,26,21,18,0
981,25,21,19,0
982,28,24,23,0
983,27,26,24,0
984,28,27,25,0
985,25,24,22,0
986,22,21,19,0
987,21,20,18,0
988,22,21,19,0
989,23,22,20,0
990,21,20,18,0
991,21,20,18,0
992,21,20,18,0
993,19,18,16,0
994,19,18,16,0
995,19,18,15,0
996,19,18,14,0
997,18,17,13,0
998,18,17,13,0
999,18,17,13,0
1000,19,18,14,0
1001,20,19,15,0
1002,20,19,15,0
1003,19,18,14,0
1004,18,17,13,0
1005,18,17,13,0
1006,17,16,12,0
1007,17,16,12,0
1008,17,16,12,0
1009,17,16,12,0
1010,17,16,12,0
1011,17,16,12,0
1012,17,16,12,0
1013,16,15,11,0
1014,15,14,10,0
1015,15,14,10,0
1016,14,13,9,0
1017,14,13,9,0
1018,13,12,8,0
1019,14,13,9,0
1020,15,14,10,0
1021,16,15,11,0
1022,16,15,11,0
1023,17,16,12,0
1024,16,15,11,0
1025,23,25,22,0
1026,25,27,24,0
1027,27,29,26,0
1028,26,28,25,0
1029,23,25,22,0
1030,21,23,20,0
1031,23,25,22,0
1032,23,25,22,0
1033,23,25,22,0
1034,23,25,22,0
1035,23,25,22,0
1036,23,25,22,0
1037,24,26,23,0
1038,24,26,23,0
1039,21,23,20,0
1040,18,20,17,0
1041,21,23,20,0
1042,23,25,22,0
1043,24,24,22,0
1044,23,23,21,0
1045,23,23,21,0
1046,23,23,21,0
1047,22,22,20,0
1048,21,21,19,0
1049,21,21,19,0
1050,23,23,21,0
1051,23,23,21,0
1052,22,22,20,0
1053,20,20,18,0
1054,22,22,20,0
1055,22,22,20,0
1056,22,22,20,0
1057,22,22,20,0
1058,22,22,20,0
1059,22,22,20,0
1060,21,21,19,0
1061,22,22,20,0
1062,23,23,21,0
1063,24,24,22,0
1064,25,25,23,0
1065,25,25,23,0
1066,22,24,21,0
1067,22,24,21,0
1068,22,24,21,0
1069,22,24,21,0
1070,22,24,21,0
1071,20,22,19,0
1072,20,22,19,0
1073,23,25,22,0
1074,24,26,23,0
1075,24,26,23,0
1076,21,23,20,0
1077,28,26,17,0
1078,27,24,15,0
1079,25,21,12,0
1080,37,33,24,0
1081,40,35,26,0
1082,45,38,30,0
1083,94,87,79,2
1084,110,103,95,2
1085,115,108,100,2
1086,109,102,94,2
1087,106,99,91,2
1088,112,105,97,2
1089,161,154,146,2
1090,137,130,122,2
1091,120,113,105,2
1092,148,141,133,2
1093,172,165,157,2
1094,135,132,125,2
1095,101,102,97,2
1096,89,90,85,2
1097,102,103,98,2
1098,99,100,95,2
